Grant Agreement ID;Project Link;EU contribution (€);Includes PO?;PO budget (€);PO budget %;PO link;PO link 2;PO link 3;Topic ;;;;;;;;;;;;;;;;;;;
875406;https://cordis.europa.eu/project/rcn/225744/factsheet/en;5065106.25;1;131812.50;2.60;https://www.eu-patient.eu/Members/The-EPF-Members/Full-Membership/National-Patients-Organisation-of-Bulgaria---NPO/;;;SC1-DTH-01-2019 - Big data and Artificial Intelligence for monitoring health status and quality of life after the cancer treatment;;;;;;;;;;;;;;;;;;;
732386;https://cordis.europa.eu/project/rcn/207208/factsheet/en;5971173.75;1;144375.00;2.42;https://www.epda.eu.com/about-us/who-we-are/;;;SC1-PM-09-2016 - New therapies for chronic diseases;;;;;;;;;;;;;;;;;;;
734548;https://cordis.europa.eu/project/rcn/207455/factsheet/en;11964209.00;0;-;-;-;;;SC1-PM-22-2016 - Addressing the urgent research gaps against the Zika virus and other emerging threats in Latin America;;;;;;;;;;;;;;;;;;;
680969;https://cordis.europa.eu/project/rcn/198784/factsheet/en;5974237.50;0;-;-;-;;;HCO-13-2015 - ERA-NET: Cardiovascular disease;;;;;;;;;;;;;;;;;;;
681043;https://cordis.europa.eu/project/rcn/198527/factsheet/en;2043283.75;0;-;-;-;;;HCO-17-2015 - Towards sustainability and globalisation of the Joint Programming Initiative on Neurodegenerative Diseases;;;;;;;;;;;;;;;;;;;
847939;https://cordis.europa.eu/project/rcn/226451/factsheet/en;9983029.00;1;175000.00;1.75;https://elpa.eu/;;;SC1-BHC-14-2019 - Stratified host-directed approaches to improve prevention. treatment and/or cure of infectious diseases;;;;;;;;;;;;;;;;;;;
874837;https://cordis.europa.eu/project/rcn/226681/factsheet/en;7901115.00;0;-;-;-;;;SC1-BHC-07-2019 - Regenerative medicine: from new insights to new applications;;;;;;;;;;;;;;;;;;;
847507;https://cordis.europa.eu/project/rcn/226442/factsheet/en;9998170.00;0;-;-;-;;;SC1-BHC-14-2019 - Stratified host-directed approaches to improve prevention. treatment and/or cure of infectious diseases;;;;;;;;;;;;;;;;;;;
848223;https://cordis.europa.eu/project/rcn/226464/factsheet/en;10425686.25;0;-;-;-;;;SC1-BHC-14-2019 - Stratified host-directed approaches to improve prevention. treatment and/or cure of infectious diseases;;;;;;;;;;;;;;;;;;;
847786;https://cordis.europa.eu/project/rcn/226448/factsheet/en;10162903.75;0;-;-;-;;;SC1-BHC-14-2019 - Stratified host-directed approaches to improve prevention. treatment and/or cure of infectious diseases;;;;;;;;;;;;;;;;;;;
847782;https://cordis.europa.eu/project/rcn/226450/factsheet/en;9996350.25;0;-;-;-;;;SC1-BHC-14-2019 - Stratified host-directed approaches to improve prevention. treatment and/or cure of infectious diseases;;;;;;;;;;;;;;;;;;;
825026;https://cordis.europa.eu/project/rcn/219911/factsheet/en;3992625.00;2;1501250.00;37.60;https://www.helpage.org/who-we-are/about-the-global-network/;"(not a PO but an organization (org and uk) for people +50; should be considered?)";;SC1-BHC-16-2018 - Global Alliance for Chronic Diseases (GACD) - Scaling-up of evidence-based health interventions at population level for the prevention and management of hypertension and/or diabetes;;;;;;;;;;;;;;;;;;;
847762;https://cordis.europa.eu/project/rcn/226446/factsheet/en;6388104.00;0;-;-;-;;;SC1-BHC-14-2019 - Stratified host-directed approaches to improve prevention. treatment and/or cure of infectious diseases;;;;;;;;;;;;;;;;;;;
779334;https://cordis.europa.eu/project/rcn/213058/factsheet/en;2415633.75;1;29612.50;1.23;http://www.menssana-sarajevo.org/;;;SC1-HCO-07-2017 - Global Alliance for Chronic Diseases (GACD) prevention and management of mental disorders;;;;;;;;;;;;;;;;;;;
783654;https://cordis.europa.eu/project/rcn/213205/factsheet/en;3713994.25;0;-;-;-;;;SMEInst-05-2016-2017 - Supporting innovative SMEs in the healthcare biotechnology sector;;;;;;;;;;;;;;;;;;;
777783;https://cordis.europa.eu/project/rcn/211973/factsheet/en;1514200.00;0;-;-;-;;;SMEInst-05-2016-2017 - Supporting innovative SMEs in the healthcare biotechnology sector;;;;;;;;;;;;;;;;;;;
732163;https://cordis.europa.eu/project/rcn/207207/factsheet/en;5555836.25;0;-;-;-;;;SC1-PM-11-2016-2017 - Clinical research on regenerative medicine;;;;;;;;;;;;;;;;;;;
733006;https://cordis.europa.eu/project/rcn/207212/factsheet/en;7595715.00;0;-;-;-;;;SC1-PM-11-2016-2017 - Clinical research on regenerative medicine;;;;;;;;;;;;;;;;;;;
667946;https://cordis.europa.eu/project/rcn/199743/factsheet/en;5871825.00;1;254000.00;4.33;https://www.atsociety.org.uk/about-us/our-story/;;;PHC-14-2015 - New therapies for rare diseases;;;;;;;;;;;;;;;;;;;
696802;https://cordis.europa.eu/project/rcn/200003/factsheet/en;4092630.25;0;-;-;-;;;PHC-12-2015 - Clinical research for the validation of biomarkers and/or diagnostic medical devices;;;;;;;;;;;;;;;;;;;
668724;https://cordis.europa.eu/project/rcn/199758/factsheet/en;5968850.00;0;-;-;-;;;PHC-16-2015 - Tools and technologies for advanced therapies;;;;;;;;;;;;;;;;;;;
754517;https://cordis.europa.eu/project/rcn/212666/factsheet/en;6958896.00;1;45000.00;0.65;https://www.safestroke.eu/;;;SC1-PM-10-2017 - Comparing the effectiveness of existing healthcare interventions in the adult population;;;;;;;;;;;;;;;;;;;
633190;https://cordis.europa.eu/project/rcn/193184/factsheet/en;5998994.00;0;-;-;-;;;PHC-13-2014 - New therapies for chronic non-communicable diseases;;;;;;;;;;;;;;;;;;;
804438;https://cordis.europa.eu/project/rcn/218567/factsheet/en;2992575.00;0;-;-;-;;;SMEInst-05-2016-2017 - Supporting innovative SMEs in the healthcare biotechnology sector;;;;;;;;;;;;;;;;;;;
634579;https://cordis.europa.eu/project/rcn/193299/factsheet/en;5913079.75;0;-;-;-;;;PHC-13-2014 - New therapies for chronic non-communicable diseases;;;;;;;;;;;;;;;;;;;
847943;https://cordis.europa.eu/project/rcn/226453/factsheet/en;9994383.75;1;236737.50;2.37;http://www.bcncheckpoint.com/projecte-dels-noms/?lang=en;;;SC1-BHC-14-2019 - Stratified host-directed approaches to improve prevention. treatment and/or cure of infectious diseases;;;;;;;;;;;;;;;;;;;
875329;https://cordis.europa.eu/project/rcn/225749/factsheet/en;4999915.00;1;130625.00;2.61;https://ecpc.org/about-us;;;SC1-DTH-01-2019 - Big data and Artificial Intelligence for monitoring health status and quality of life after the cancer treatment;;;;;;;;;;;;;;;;;;;
825741;https://cordis.europa.eu/project/rcn/224788/factsheet/en;4675932.30;0;-;-;-;;;SC1-BHC-18-2018 - Translational collaborative cancer research between Europe and the Community of Latin American and Caribbean States (CELAC);;;;;;;;;;;;;;;;;;;
825771;https://cordis.europa.eu/project/rcn/220957/factsheet/en;3153447.50;0;-;-;-;;;SC1-BHC-18-2018 - Translational collaborative cancer research between Europe and the Community of Latin American and Caribbean States (CELAC);;;;;;;;;;;;;;;;;;;
825575;https://cordis.europa.eu/project/rcn/220948/factsheet/en;55073831.17;2;935827.00;1.70;https://www.afm-telethon.fr/;https://www.eurordis.org/;;SC1-BHC-04-2018 - Rare Disease European Joint Programme Cofund;;;;;;;;;;;;;;;;;;;
667211;https://cordis.europa.eu/project/rcn/199725/factsheet/en;5861957.50;0;-;-;-;;;PHC-11-2015 - Development of new diagnostic tools and technologies: in vivo medical imaging technologies;;;;;;;;;;;;;;;;;;;
681094;https://cordis.europa.eu/project/rcn/198795/factsheet/en;4774444.75;0;-;-;-;;;PHC-15-2015 - Clinical research on regenerative medicine;;;;;;;;;;;;;;;;;;;
681040;https://cordis.europa.eu/project/rcn/198790/factsheet/en;2987794.25;1;164791.00;5.52;https://www.uicc.org/membership/hellenic-cancer-society;(confirmar);;HCO-06-2015 - Global Alliance for Chronic Diseases. Prevention and treatment of lung diseases;;;;;;;;;;;;;;;;;;;
680995;https://cordis.europa.eu/project/rcn/198785/factsheet/en;2999828.75;0;-;-;-;;;HCO-06-2015 - Global Alliance for Chronic Diseases. Prevention and treatment of lung diseases;;;;;;;;;;;;;;;;;;;
754640;https://cordis.europa.eu/project/rcn/212667/factsheet/en;5990684.50;1;78375.00;1.31;https://www.safestroke.eu/;;;SC1-PM-10-2017 - Comparing the effectiveness of existing healthcare interventions in the adult population;;;;;;;;;;;;;;;;;;;
634886;https://cordis.europa.eu/project/rcn/193311/factsheet/en;5855219.03;0;-;-;http://www.tools2use.eu/?lang=en;(curioso!!);;PHC-17-2014 - Comparing the effectiveness of existing healthcare interventions in the elderly;;;;;;;;;;;;;;;;;;;
634415;https://cordis.europa.eu/project/rcn/193285/factsheet/en;5963132.75;0;-;-;-;;;PHC-10-2014 - Development of new diagnostic tools and technologies: in vitro devices. assays and platforms;;;;;;;;;;;;;;;;;;;
874827;https://cordis.europa.eu/project/rcn/226548/factsheet/en;8000000.00;0;-;-;-;;;SC1-BHC-07-2019 - Regenerative medicine: from new insights to new applications;;;;;;;;;;;;;;;;;;;
731875;https://cordis.europa.eu/project/rcn/207204/factsheet/en;5998800.00;1;100000.00;1.67;https://elpa.eu/;;;SC1-PM-09-2016 - New therapies for chronic diseases;;;;;;;;;;;;;;;;;;;
667224;https://cordis.europa.eu/project/rcn/199013/factsheet/en;5994030.00;0;-;-;-;;;PHC-18-2015 - Establishing effectiveness of health care interventions in the paediatric population;;;;;;;;;;;;;;;;;;;
783506;https://cordis.europa.eu/project/rcn/213204/factsheet/en;3957000.00;0;-;-;-;;;SMEInst-05-2016-2017 - Supporting innovative SMEs in the healthcare biotechnology sector;;;;;;;;;;;;;;;;;;;
719445;https://cordis.europa.eu/project/rcn/204565/factsheet/en;3460486.50;0;-;-;-;;;PHC-12-2015 - Clinical research for the validation of biomarkers and/or diagnostic medical devices;;;;;;;;;;;;;;;;;;;
681045;https://cordis.europa.eu/project/rcn/198792/factsheet/en;6608754.50;0;-;-;-;;;PHC-15-2015 - Clinical research on regenerative medicine;;;;;;;;;;;;;;;;;;;
681070;https://cordis.europa.eu/project/rcn/198794/factsheet/en;6200000.00;0;-;-;-;;;PHC-15-2015 - Clinical research on regenerative medicine;;;;;;;;;;;;;;;;;;;
643774;https://cordis.europa.eu/project/rcn/194100/factsheet/en;3614083.75;0;-;-;-;;;HCO-05-2014 - Global Alliance for Chronic Diseases: prevention and treatment of type 2 diabetes;;;;;;;;;;;;;;;;;;;
643692;https://cordis.europa.eu/project/rcn/194091/factsheet/en;3344979.00;0;-;-;-;;;HCO-05-2014 - Global Alliance for Chronic Diseases: prevention and treatment of type 2 diabetes;;;;;;;;;;;;;;;;;;;
643853;https://cordis.europa.eu/project/rcn/194111/factsheet/en;6397077.00;0;-;-;-;;;PHC-15-2014 - Clinical research on regenerative medicine;;;;;;;;;;;;;;;;;;;
643434;https://cordis.europa.eu/project/rcn/194065/factsheet/en;2896399.80;0;-;-;-;;;HCO-04-2014 - Support for international infectious disease preparedness research;;;;;;;;;;;;;;;;;;;
633765;https://cordis.europa.eu/project/rcn/193253/factsheet/en;5998786.00;0;-;-;-;;;PHC-17-2014 - Comparing the effectiveness of existing healthcare interventions in the elderly;;;;;;;;;;;;;;;;;;;
